filename, language, Python, pip requirements, HTML, CSS, comment, blank, total
blog\__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
blog\admin.py, Python, 85, 0, 0, 0, 4, 12, 101
blog\apps.py, Python, 3, 0, 0, 0, 0, 3, 6
blog\models.py, Python, 306, 0, 0, 0, 30, 129, 465
blog\signals.py, Python, 0, 0, 0, 0, 0, 1, 1
blog\static\blog\style.css, CSS, 0, 0, 0, 447, 10, 97, 554
blog\templates\blog\about.html, HTML, 0, 0, 134, 0, 3, 16, 153
blog\templates\blog\base.html, HTML, 0, 0, 162, 0, 7, 30, 199
blog\templates\blog\comment_form.html, HTML, 0, 0, 30, 0, 0, 6, 36
blog\templates\blog\comment_list.html, HTML, 0, 0, 97, 0, 5, 5, 107
blog\templates\blog\foodblog_detail.html, HTML, 0, 0, 781, 0, 16, 36, 833
blog\templates\blog\home.html, HTML, 0, 0, 548, 0, 5, 12, 565
blog\templates\blog\life_blog_comment_form.html, HTML, 0, 0, 19, 0, 0, 6, 25
blog\templates\blog\life_detail.html, HTML, 0, 0, 251, 0, 10, 17, 278
blog\templates\blog\life_search.html, HTML, 0, 0, 208, 0, 14, 32, 254
blog\templates\blog\map.html, HTML, 0, 0, 25, 0, 0, 13, 38
blog\templates\blog\search.html, HTML, 0, 0, 664, 0, 21, 54, 739
blog\tests.py, Python, 1, 0, 0, 0, 1, 2, 4
blog\urls.py, Python, 25, 0, 0, 0, 1, 2, 28
blog\views.py, Python, 259, 0, 0, 0, 55, 66, 380
classifieds\__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
classifieds\admin.py, Python, 5, 0, 0, 0, 0, 4, 9
classifieds\apps.py, Python, 3, 0, 0, 0, 0, 3, 6
classifieds\forms.py, Python, 49, 0, 0, 0, 0, 6, 55
classifieds\models.py, Python, 199, 0, 0, 0, 25, 40, 264
classifieds\templates\classifieds\ad_confirm_delete.html, HTML, 0, 0, 28, 0, 0, 2, 30
classifieds\templates\classifieds\ad_detail.html, HTML, 0, 0, 199, 0, 5, 14, 218
classifieds\templates\classifieds\ad_form.html, HTML, 0, 0, 38, 0, 1, 5, 44
classifieds\templates\classifieds\ad_list.html, HTML, 0, 0, 213, 0, 4, 18, 235
classifieds\templates\classifieds\ad_update_form.html, HTML, 0, 0, 23, 0, 0, 2, 25
classifieds\templates\classifieds\ademail_form.html, HTML, 0, 0, 28, 0, 0, 2, 30
classifieds\templates\classifieds\faq.html, HTML, 0, 0, 128, 0, 1, 10, 139
classifieds\templates\classifieds\job_confirm_delete.html, HTML, 0, 0, 28, 0, 0, 2, 30
classifieds\templates\classifieds\job_detail.html, HTML, 0, 0, 130, 0, 11, 11, 152
classifieds\templates\classifieds\job_form.html, HTML, 0, 0, 37, 0, 1, 5, 43
classifieds\templates\classifieds\job_list.html, HTML, 0, 0, 179, 0, 4, 22, 205
classifieds\templates\classifieds\job_update_form.html, HTML, 0, 0, 39, 0, 1, 4, 44
classifieds\templatetags\__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
classifieds\templatetags\classifieds_tags.py, Python, 143, 0, 0, 0, 0, 29, 172
classifieds\tests.py, Python, 1, 0, 0, 0, 1, 2, 4
classifieds\urls.py, Python, 31, 0, 0, 0, 2, 3, 36
classifieds\views.py, Python, 205, 0, 0, 0, 37, 64, 306
django_project\__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
django_project\urls.py, Python, 60, 0, 0, 0, 17, 8, 85
django_project\wsgi.py, Python, 4, 0, 0, 0, 8, 5, 17
manage.py, Python, 15, 0, 0, 0, 2, 5, 22
requirements.txt, pip requirements, 0, 13, 0, 0, 0, 0, 13
sitemaps.py, Python, 46, 0, 0, 0, 0, 17, 63
static\blog\style.css, CSS, 0, 0, 0, 447, 10, 97, 554
users\__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
users\admin.py, Python, 5, 0, 0, 0, 0, 2, 7
users\apps.py, Python, 5, 0, 0, 0, 0, 4, 9
users\forms.py, Python, 49, 0, 0, 0, 0, 11, 60
users\models.py, Python, 29, 0, 0, 0, 0, 10, 39
users\signals.py, Python, 11, 0, 0, 0, 0, 3, 14
users\templates\users\login.html, HTML, 0, 0, 48, 0, 0, 14, 62
users\templates\users\logout.html, HTML, 0, 0, 35, 0, 0, 8, 43
users\templates\users\password_reset.html, HTML, 0, 0, 38, 0, 0, 6, 44
users\templates\users\password_reset_complete.html, HTML, 0, 0, 34, 0, 0, 7, 41
users\templates\users\password_reset_confirm.html, HTML, 0, 0, 54, 0, 1, 13, 68
users\templates\users\password_reset_done.html, HTML, 0, 0, 34, 0, 0, 11, 45
users\templates\users\profile.html, HTML, 0, 0, 221, 0, 8, 18, 247
users\templates\users\register.html, HTML, 0, 0, 27, 0, 0, 0, 27
users\tests.py, Python, 1, 0, 0, 0, 1, 2, 4
users\views.py, Python, 74, 0, 0, 0, 3, 17, 94
Total, -, 1614, 13, 4480, 894, 325, 1050, 8376
